coach,start_year,end_year,tenure_seasons,games,wins,losses,ties,win_pct,g_above_500,playoff_wins,playoff_losses,playoff_win_pct,AvRk,BstRk,Chmp,super_bowl_w,conf_wins
al davis,1963,1965,3,42,23,16,3,0.583,7,0,0,0.000,2.3,2,0,0,0
john rauch,1966,1968,3,42,33,8,1,0.798,25,2,2,0.500,1.3,1,0,0,1
john madden,1969,1978,10,142,103,32,7,0.750,71,9,7,0.563,1.3,1,1,1,1
tom flores,1979,1987,9,136,83,53,0,0.610,30,8,3,0.727,2.7,1,2,2,2
mike shanahan,1988,1989,2,20,8,12,0,0.400,-4,0,0,0.000,3.0,3,0,0,0
art shell,1989,2006,7,108,56,52,0,0.519,4,2,3,0.400,2.9,1,0,0,0
mike white,1995,1996,2,32,15,17,0,0.469,-2,0,0,0.000,4.5,4,0,0,0
jon gruden,1998,2021,8,117,60,57,0,0.513,3,2,2,0.500,2.4,1,0,0,0
bill callahan,2002,2003,2,32,15,17,0,0.469,-2,2,1,0.667,2.0,1,0,0,1
norv turner,2004,2005,2,32,9,23,0,0.281,-14,0,0,0.000,4.0,4,0,0,0
lane kiffin,2007,2008,2,20,5,15,0,0.250,-10,0,0,0.000,3.5,3,0,0,0
tom cable,2008,2010,3,44,17,27,0,0.386,-10,0,0,0.000,3.0,3,0,0,0
dennis allen,2012,2014,3,36,8,28,0,0.222,-20,0,0,0.000,3.7,3,0,0,0
jack del rio,2015,2017,3,48,25,23,0,0.521,2,0,1,0.000,2.7,2,0,0,0
josh mcdaniels,2022,2023,2,25,9,16,0,0.360,-7,0,0,0.000,2.5,2,0,0,0
antonio pierce,2023,2024,2,26,9,17,0,0.346,-8,0,0,0.000,3.0,2,0,0,0