season,qb_name,games_started,comp_perc,yards,td,int,rating,rate_plus,pro_bowl,ap_team,mvp_votes
1960,tommy oconnell,7,44.8,1033,7,13,47.9,84,FALSE,FALSE,FALSE
1961,johnny green,6,44.4,903,6,5,68.3,108,FALSE,FALSE,FALSE
1962,warren rabb,8,37.9,1196,10,14,47.7,88,FALSE,FALSE,FALSE
1963,jack kemp,12,50.3,2910,13,20,65.1,103,TRUE,FALSE,FALSE
1964,jack kemp,13,44.2,2285,13,26,50.9,87,TRUE,FALSE,FALSE
1965,jack kemp,13,45.8,2368,10,18,54.8,94,TRUE,TRUE,FALSE
1966,jack kemp,14,42.7,2451,11,16,56.2,95,TRUE,TRUE,FALSE
1967,jack kemp,11,43.6,2503,14,26,50,89,FALSE,FALSE,FALSE
1968,dan darragh,7,42.8,917,3,14,33,69,FALSE,FALSE,FALSE
1969,jack kemp,11,49.4,1981,13,22,53.2,90,TRUE,FALSE,FALSE
1970,dennis shaw,12,55.5,2507,10,20,65.3,100,FALSE,FALSE,FALSE
1971,dennis shaw,12,51.2,1813,11,26,46.1,80,FALSE,FALSE,FALSE
1972,dennis shaw,13,52.7,1666,14,17,63.5,99,FALSE,FALSE,FALSE
1973,joe ferguson,14,44.5,939,4,10,45.8,78,FALSE,FALSE,FALSE
1974,joe ferguson,14,51.3,1588,12,12,69,104,FALSE,FALSE,FALSE
1975,joe ferguson,14,52.6,2426,25,17,81.3,115,FALSE,FALSE,FALSE
1976,joe ferguson,7,49,1086,9,1,90,126,FALSE,FALSE,FALSE
1977,joe ferguson,14,48.4,2803,12,24,54.8,89,FALSE,FALSE,FALSE
1978,joe ferguson,16,53,2136,16,15,70.5,106,FALSE,FALSE,FALSE
1979,joe ferguson,16,52,3572,14,15,74.4,106,FALSE,FALSE,FALSE
1980,joe ferguson,16,57.2,2805,20,18,74.5,103,FALSE,FALSE,FALSE
1981,joe ferguson,16,50.6,3652,24,20,74.1,101,FALSE,FALSE,FALSE
1982,joe ferguson,9,54.5,1597,7,16,56.3,77,FALSE,FALSE,FALSE
1983,joe ferguson,16,55.3,2995,26,25,69.3,92,FALSE,FALSE,FALSE
1984,joe ferguson,11,55.5,1991,12,17,63.5,86,FALSE,FALSE,FALSE
1985,vince ferragamo,9,51.9,1677,5,17,50.8,69,FALSE,FALSE,FALSE
1986,jim kelly,16,59.4,3593,22,17,83.3,112,FALSE,FALSE,FALSE
1987,jim kelly,12,59.7,2798,19,11,83.8,112,TRUE,FALSE,FALSE
1988,jim kelly,16,59.5,3380,15,17,78.2,104,TRUE,FALSE,FALSE
1989,jim kelly,13,58.3,3130,25,18,86.2,114,FALSE,FALSE,FALSE
1990,jim kelly,14,63.3,2829,24,9,101.2,135,TRUE,FALSE,TRUE
1991,jim kelly,15,64.1,3844,33,17,97.6,129,TRUE,TRUE,TRUE
1992,jim kelly,16,58.2,3457,23,19,81.2,107,TRUE,TRUE,FALSE
1993,jim kelly,16,61.3,3382,18,18,79.9,104,FALSE,FALSE,FALSE
1994,jim kelly,14,63.6,3114,22,17,84.6,109,FALSE,FALSE,FALSE
1995,jim kelly,15,55.7,3130,22,13,81.1,104,FALSE,FALSE,FALSE
1996,jim kelly,13,58.6,2810,14,19,73.2,93,FALSE,FALSE,FALSE
1997,todd collins,13,55,2367,12,13,69.5,90,FALSE,FALSE,FALSE
1998,doug flutie,10,57.1,2711,20,11,87.4,112,TRUE,FALSE,FALSE
1999,doug flutie,15,55.2,3171,19,16,75.1,97,FALSE,FALSE,FALSE
2000,rob johnson,11,57.2,2125,12,7,82.2,106,FALSE,FALSE,FALSE
2001,rob johnson,8,62,1465,5,7,76.3,96,FALSE,FALSE,FALSE
2002,drew bledsoe,16,61.5,4359,24,15,86,110,TRUE,FALSE,FALSE
2003,drew bledsoe,16,58.2,2860,11,12,73,90,FALSE,FALSE,FALSE
2004,drew bledsoe,16,56.9,2932,20,16,76.6,95,FALSE,FALSE,FALSE
2005,jp losman,8,49.6,1340,8,8,64.9,79,FALSE,FALSE,FALSE
2006,jp losman,16,62.5,3051,19,14,84.9,105,FALSE,FALSE,FALSE
2007,trent edwards,9,56.1,1630,7,8,70.4,84,FALSE,FALSE,FALSE
2008,trent edwards,14,65.5,2699,11,10,85.4,103,FALSE,FALSE,FALSE
2009,ryan fitzpatrick,8,55.9,1422,9,10,69.7,83,FALSE,FALSE,FALSE
2010,ryan fitzpatrick,13,57.8,3000,23,15,81.8,98,FALSE,FALSE,FALSE
2011,ryan fitzpatrick,16,62,3832,24,23,79.1,93,FALSE,FALSE,FALSE
2012,ryan fitzpatrick,16,60.6,3400,24,16,83.3,97,FALSE,FALSE,FALSE
2013,ej manuel,10,58.8,1972,11,9,77.7,88,FALSE,FALSE,FALSE
2014,kyle orton,12,64.2,3018,18,10,87.8,99,FALSE,FALSE,FALSE
2015,tyrod taylor,14,63.7,3035,20,6,99.4,115,TRUE,FALSE,FALSE
2016,tyrod taylor,15,61.7,3023,17,6,89.7,101,FALSE,FALSE,FALSE
2017,tyrod taylor,14,62.6,2799,14,4,89.2,99,FALSE,FALSE,FALSE
2018,josh allen,11,52.8,2074,10,12,49.8,70,FALSE,FALSE,FALSE
2019,josh allen,16,58.8,3089,20,9,85.3,91,FALSE,FALSE,FALSE
2020,josh allen,16,69.2,4544,37,10,76.6,121,TRUE,TRUE,TRUE
2021,josh allen,17,63.3,4407,36,15,66.3,101,FALSE,FALSE,FALSE